tag_id,index,year,month,day,AM91,AM91,AM91,AM93,AM93,AM93,AM99,AM99,AM99
,,,,,latitude,longitude,temperature,latitude,longitude,temperature,latitude,longitude,temperature
15,152,2008,1,12,-24.223589375,31.761180208333332,30.520833333333332,-24.2028012,31.7533684,29.32,-24.212065454545453,31.838220454545453,31.727272727272727
16,153,2008,1,13,-24.276840625000002,31.77365041666667,31.041666666666668,-24.27739916666667,31.773105833333332,31.416666666666668,-24.204518958333335,31.82150270833333,31.25
17,154,2008,1,14,-24.262825217391306,31.790811086956523,32.26086956521739,-24.26306,31.791360833333332,31.0,-24.20885976744186,31.827731395348838,31.74418604651163
18,155,2008,1,15,-24.266248695652177,31.801426739130434,32.08695652173913,-24.264948,31.802428,32.85,-24.212249772727272,31.81813863636364,31.454545454545453
19,156,2008,1,16,-24.248382083333336,31.78116291666667,31.5,-24.248207647058823,31.777537352941174,32.588235294117645,-24.170600851063828,31.79262638297872,32.340425531914896
20,157,2008,1,17,-24.298109782608698,31.80731586956522,26.41304347826087,-24.279065,31.798367727272726,25.772727272727273,-24.21588681818182,31.77676272727273,25.227272727272727
21,158,2008,1,18,-24.333838125,31.822523750000002,28.208333333333332,-24.347820476190478,31.820316666666663,27.333333333333332,-24.28663619047619,31.801838571428572,28.166666666666668
22,159,2008,1,19,-24.392823260869566,31.801944782608697,31.043478260869566,-24.391046888888887,31.80192688888889,30.2,-24.3152,31.81051659574468,31.25531914893617
23,160,2008,1,20,-24.406116190476194,31.785263095238097,32.11904761904762,-24.40739131578947,31.78536315789474,30.55263157894737,-24.327964,31.80419,26.8
24,161,2008,1,21,-24.395178205128207,31.775388974358975,31.846153846153847,-24.39482951219512,31.775200975609756,30.585365853658537,-24.29137340909091,31.807632272727275,30.886363636363637
25,162,2008,1,22,-24.386351875,31.803939375,29.666666666666668,-24.3859325,31.8024975,29.041666666666668,-24.301471458333335,31.81257041666667,30.5625
26,163,2008,1,23,-24.396590652173913,31.871731521739132,30.23913043478261,-24.393685666666666,31.870451333333335,29.8,-24.277147826086956,31.79506108695652,30.32608695652174
27,164,2008,1,24,-24.392494347826087,31.853489347826088,30.58695652173913,-24.39247565217391,31.852914347826086,29.782608695652176,-24.287876285714283,31.78825857142857,30.02857142857143
28,165,2008,1,25,-24.393416285714288,31.886623142857143,30.485714285714284,-24.395360526315788,31.88099315789474,27.55263157894737,-24.252695217391306,31.826492173913042,29.304347826086957
29,166,2008,1,26,-24.405169565217392,31.860281739130436,30.23913043478261,-24.403699767441857,31.864117674418605,28.697674418604652,-24.239380652173914,31.82438804347826,29.73913043478261
30,167,2008,1,27,-24.41506347826087,31.83332847826087,29.67391304347826,-24.405557142857145,31.83616771428571,27.942857142857143,-24.245210909090908,31.79849568181818,27.977272727272727
31,168,2008,1,28,-24.38793581395349,31.791866511627905,31.13953488372093,-24.386087777777778,31.790746111111112,30.916666666666668,-24.22033575,31.780203,29.425
32,169,2008,1,29,-24.385540000000002,31.825514318181817,30.977272727272727,-24.38472955555556,31.82604933333333,29.6,-24.278926170212763,31.77868063829787,29.127659574468087
33,170,2008,1,30,-24.38408022222222,31.824385555555555,29.666666666666668,-24.383239999999997,31.82420093023256,29.11627906976744,-24.389398292682927,31.735080000000004,30.26829268292683
34,171,2008,1,31,-24.39851465116279,31.844113720930235,32.116279069767444,-24.39853457142857,31.84371514285714,32.42857142857143,-24.395158809523807,31.726442380952385,30.761904761904763
35,172,2008,2,1,-24.4042295,31.846261750000004,30.625,-24.404519999999998,31.845679999999998,30.45,-24.39915829787234,31.72008914893617,29.4468085106383
